Elev(feet),Cap(acre-ft),Area(acres)
4029,-0.22,0
4029.1,-0.21,0
4029.2,-0.2,0
4029.3,-0.19,0
4029.4,-0.18,0
4029.6,-0.17,0
4029.7,-0.16,0
4029.8,-0.15,0
4029.9,-0.14,0
4030,-0.13,0
4030.1,-0.12,0
4030.2,-0.11,0
4030.3,-0.1,0
4030.4,0,0
4030.5,3,56
4030.6,11,113
4030.7,25,169
4030.8,45,225
4030.9,70,281
4031,101,338
4031.1,162,887
4031.2,279,1436
4031.3,450,1985
4031.4,676,2534
4031.5,957,3083
4031.6,1276,3312
4031.7,1619,3540
4031.8,1984,3768
4031.9,2373,3997
4032,2784,4225
4032.1,3216,4414
4032.2,3667,4604
4032.3,4136,4793
4032.4,4625,4982
4032.5,5133,5172
4032.6,5661,5396
4032.7,6212,5620
4032.8,6785,5844
4032.9,7381,6068
4033,7999,6293
4033.1,8640,6525
4033.2,9304,6758
4033.3,9991,6990
4033.4,10702,7223
4033.5,11436,7455
4033.6,12196,7755
4033.7,12987,8055
4033.8,13807,8356
4033.9,14658,8656
4034,15539,8956
4034.1,16437,9007
4034.2,17340,9058
4034.3,18248,9109
4034.4,19162,9161
4034.5,20081,9212
4034.6,21004,9263
4034.7,21993,9314
4034.8,22867,9365
4034.9,23806,9416
4035,24750,9468
4035.1,25697,9471
4035.2,26645,9473
4035.3,27592,9476
4035.4,28540,9479
4035.5,29488,9482
4035.6,30436,9485
4035.7,31385,9488
4035.8,32334,9491
4035.9,33283,9494
4036,34233,9497
4036.1,35183,9497
4036.2,36132,9498
4036.3,37082,9498
4036.4,38032,9498
4036.5,38982,9498
4036.6,39931,9499
4036.7,40881,9499
4036.8,41831,9499
4036.9,42781,9499
4037,43731,9500
